Line, Expression, Evaluation
1, g21>1 && g21>0, 2*g21 - 2<0, False
2, g21>1 && g21>0, g21 - 1<0, False
3, g21>1 && g21>0, g21 - 1<0, False
4, g21>1 && g21>0, g21 - 1<0, False
5, g21>1 && g21>0, g21^2 - 1<0, False
6, g21>1 && g21>0, 3*g21 - 3<0, False
7, g21>1 && g21>0, g21 - 1<0, False
8, g21>1 && g21>0, g21^2 - 1<0, False
9, g21>1 && g21>0, g21 - 1<0, False
10, g21>1 && g21>0, g21 - 1<0, False
11, g21>1 && g21>0, g21^2 - g21<0, False
12, g21>1 && g21>0, g21^2 - 1<0, False
13, g21>1 && g21>0, 2*g21 - 2<0, False
14, g21>1 && g21>0, 2*g21 - 2<0, False
15, g21>1 && g21>0, 2*g21 - 2<0, False
16, g21>1 && g21>0, 2*g21^2 - 2*g21<0, False
17, g21>1 && g21>0, 2*g21 - 2<0, False
18, g21>1 && g21>0, 2*g21 - 2<0, False
19, g21>1 && g21>0, g21 - 1<0, False
