Line, Expression, Evaluation
1, g23>1 && g23>0, 1 - g23^2>0, False
2, g23>1 && g23>0, 2 - 2*g23^2>0, False
3, g23>1 && g23>0, 9 - 9*g23>0, False
4, g23>1 && g23>0, 2 - 2*g23>0, False
5, g23>1 && g23>0, 2 - 2*g23>0, False
6, g23>1 && g23>0, -2*g23^2 + 2*g23>0, False
7, g23>1 && g23>0, 3 - 3*g23>0, False
8, g23>1 && g23>0, -3*g23^2 + 3*g23>0, False
9, g23>1 && g23>0, 3 - 3*g23>0, False
10, g23>1 && g23>0, 2 - 2*g23^2>0, False
11, g23>1 && g23>0, 3 - 3*g23>0, False
12, g23>1 && g23>0, -g23^2 + g23>0, False
13, g23>1 && g23>0, 2 - 2*g23>0, False
14, g23>1 && g23>0, -g23^2 + g23>0, False
15, g23>1 && g23>0, 3 - 3*g23^2>0, False
16, g23>1 && g23>0, -3*g23^2 + g23 + 2>0, False
17, g23>1 && g23>0, 2 - 2*g23>0, False
18, g23>1 && g23>0, -2*g23^2 + 2*g23>0, False
19, g23>1 && g23>0, 2 - 2*g23>0, False
20, g23>1 && g23>0, -3*g23^2 + 2*g23 + 1>0, False
21, g23>1 && g23>0, -2*g23^2 + 2*g23>0, False
22, g23>1 && g23>0, -2*g23^2 + 2*g23>0, False
23, g23>1 && g23>0, -g23^2 + g23>0, False
24, g23>1 && g23>0, 1 - g23>0, False
25, g23>1 && g23>0, 1 - g23^2>0, False
26, g23>1 && g23>0, -2*g23^2 + 2*g23>0, False
27, g23>1 && g23>0, -2*g23^2 + 2*g23>0, False
28, g23>1 && g23>0, -g23^2 + g23>0, False
29, g23>1 && g23>0, 1 - g23^2>0, False
30, g23>1 && g23>0, 3 - 3*g23>0, False
31, g23>1 && g23>0, -g23^2 + g23>0, False
32, g23>1 && g23>0, 1 - g23>0, False
33, g23>1 && g23>0, 2 - 2*g23>0, False
34, g23>1 && g23>0, 2 - 2*g23^2>0, False
35, g23>1 && g23>0, 3 - 3*g23>0, False
36, g23>1 && g23>0, 1 - g23^2>0, False
37, g23>1 && g23>0, 8 - 8*g23>0, False
38, g23>1 && g23>0, -g23^2 + g23>0, False
39, g23>1 && g23>0, -6*g23^2 + 4*g23 + 2>0, False
40, g23>1 && g23>0, -2*g23^2 + 2*g23>0, False
41, g23>1 && g23>0, -2*g23^2 + 2*g23>0, False
42, g23>1 && g23>0, -2*g23^2 + g23 + 1>0, False
43, g23>1 && g23>0, 3 - 3*g23>0, False
44, g23>1 && g23>0, 1 - g23^2>0, False
45, g23>1 && g23>0, 8 - 8*g23>0, False
46, g23>1 && g23>0, -g23^2 + g23>0, False
47, g23>1 && g23>0, 3 - 3*g23>0, False
48, g23>1 && g23>0, 4 - 4*g23>0, False
49, g23>1 && g23>0, 12 - 12*g23>0, False
50, g23>1 && g23>0, 2 - 2*g23>0, False
51, g23>1 && g23>0, 1 - g23^2>0, False
52, g23>1 && g23>0, 6 - 6*g23>0, False
53, g23>1 && g23>0, 2 - 2*g23>0, False
54, g23>1 && g23>0, -6*g23^2 + 2*g23 + 4>0, False
55, g23>1 && g23>0, 1 - g23>0, False
56, g23>1 && g23>0, 9 - 9*g23>0, False
57, g23>1 && g23>0, 1 - g23>0, False
58, g23>1 && g23>0, 2 - 2*g23^2>0, False
59, g23>1 && g23>0, -4*g23^2 + 4*g23>0, False
60, g23>1 && g23>0, -2*g23^2 + 2*g23>0, False
61, g23>1 && g23>0, 6 - 6*g23>0, False
62, g23>1 && g23>0, 3 - 3*g23>0, False
63, g23>1 && g23>0, -g23^2 + g23>0, False
64, g23>1 && g23>0, -2*g23^2 + 2*g23>0, False
65, g23>1 && g23>0, 1 - g23>0, False
66, g23>1 && g23>0, 9 - 9*g23>0, False
67, g23>1 && g23>0, 1 - g23>0, False
68, g23>1 && g23>0, -2*g23^2 + g23 + 1>0, False
69, g23>1 && g23>0, 1 - g23>0, False
70, g23>1 && g23>0, 3 - 3*g23>0, False
71, g23>1 && g23>0, 1 - g23>0, False
72, g23>1 && g23>0, 2 - 2*g23^2>0, False
73, g23>1 && g23>0, 2 - 2*g23>0, False
74, g23>1 && g23>0, 1 - g23^2>0, False
75, g23>1 && g23>0, 6 - 6*g23>0, False
76, g23>1 && g23>0, 2 - 2*g23>0, False
77, g23>1 && g23>0, 2 - 2*g23^2>0, False
78, g23>1 && g23>0, 2 - 2*g23>0, False
79, g23>1 && g23>0, 1 - g23>0, False
80, g23>1 && g23>0, -6*g23^2 + 2*g23 + 4>0, False
81, g23>1 && g23>0, 4 - 4*g23>0, False
82, g23>1 && g23>0, 1 - g23>0, False
83, g23>1 && g23>0, -g23^2 + g23>0, False
84, g23>1 && g23>0, -2*g23^2 + 2*g23>0, False
85, g23>1 && g23>0, 3 - 3*g23>0, False
86, g23>1 && g23>0, 2 - 2*g23^2>0, False
87, g23>1 && g23>0, 3 - 3*g23>0, False
88, g23>1 && g23>0, -6*g23^2 + 2*g23 + 4>0, False
89, g23>1 && g23>0, 1 - g23>0, False
90, g23>1 && g23>0, 16 - 16*g23>0, False
91, g23>1 && g23>0, 1 - g23^2>0, False
92, g23>1 && g23>0, 1 - g23^2>0, False
93, g23>1 && g23>0, 2 - 2*g23>0, False
94, g23>1 && g23>0, 4 - 4*g23>0, False
95, g23>1 && g23>0, 3 - 3*g23^2>0, False
96, g23>1 && g23>0, 4 - 4*g23>0, False
97, g23>1 && g23>0, 9 - 9*g23>0, False
98, g23>1 && g23>0, -4*g23^2 + 2*g23 + 2>0, False
99, g23>1 && g23>0, 4 - 4*g23>0, False
100, g23>1 && g23>0, -g23^2 + g23>0, False
101, g23>1 && g23>0, -g23^2 + g23>0, False
102, g23>1 && g23>0, -4*g23^2 + 2*g23 + 2>0, False
103, g23>1 && g23>0, -3*g23^2 + g23 + 2>0, False
104, g23>1 && g23>0, 4 - 4*g23>0, False
105, g23>1 && g23>0, 1 - g23>0, False
106, g23>1 && g23>0, -g23^2 + g23>0, False
107, g23>1 && g23>0, 1 - g23^2>0, False
108, g23>1 && g23>0, 6 - 6*g23>0, False
109, g23>1 && g23>0, -2*g23^2 + 2*g23>0, False
