Line, Expression, Evaluation
1, g12<1 && g12>0 && g23<1 && g23>0, 2*g12*g23^2 - 2*g12>0, False
2, g12<1 && g12>0 && g23<1 && g23>0, 2*g12 + 2*g23 - 4>0, False
3, g12<1 && g12>0 && g23<1 && g23>0, 2*g12^2*g23 - 2*g12^2>0, False
4, g12<1 && g12>0 && g23<1 && g23>0, 2*g12*g23 - 2*g12>0, False
5, g12<1 && g12>0 && g23<1 && g23>0, g12 + g23 - 2>0, False
6, g12<1 && g12>0 && g23<1 && g23>0, g12^2*g23^2 - g12^2*g23>0, False
7, g12<1 && g12>0 && g23<1 && g23>0, g23 - 1>0, False
8, g12<1 && g12>0 && g23<1 && g23>0, 2*g12*g23 + 2*g12 + 2*g23 - 6>0, False
9, g12<1 && g12>0 && g23<1 && g23>0, 2*g12^2*g23 - g12^2 + g12*g23 - 2*g12>0, False
10, g12<1 && g12>0 && g23<1 && g23>0, 2*g12*g23 - 2*g12>0, False
11, g12<1 && g12>0 && g23<1 && g23>0, 2*g12^2*g23^2 - 2*g12>0, False
12, g12<1 && g12>0 && g23<1 && g23>0, g12^2*g23 - g12^2>0, False
13, g12<1 && g12>0 && g23<1 && g23>0, g12^2*g23 + 2*g12*g23 - 2*g12 - 1>0, False
14, g12<1 && g12>0 && g23<1 && g23>0, 4*g12*g23 - 4*g12>0, False
15, g12<1 && g12>0 && g23<1 && g23>0, 2*g12*g23 + g23^2 - 2*g23 - 1>0, False
16, g12<1 && g12>0 && g23<1 && g23>0, g12*g23 - 1>0, False
17, g12<1 && g12>0 && g23<1 && g23>0, g12^2*g23 - g12^2>0, False
18, g12<1 && g12>0 && g23<1 && g23>0, g12^2*g23^2 - 1>0, False
19, g12<1 && g12>0 && g23<1 && g23>0, 2*g12^2*g23 + 3*g12*g23^2 - 2*g12*g23 - g12 - 2>0, False
20, g12<1 && g12>0 && g23<1 && g23>0, g12^2*g23^2 + g12*g23^2 - g12*g23 - g23>0, False
21, g12<1 && g12>0 && g23<1 && g23>0, g12*g23^2 + g12*g23 - g23 - 1>0, False
22, g12<1 && g12>0 && g23<1 && g23>0, 2*g12^2*g23^2 - 2*g12>0, False
23, g12<1 && g12>0 && g23<1 && g23>0, g23 - 1>0, False
24, g12<1 && g12>0 && g23<1 && g23>0, g12*g23^2 - g23>0, False
25, g12<1 && g12>0 && g23<1 && g23>0, g12^2*g23^2 - g12*g23>0, False
26, g12<1 && g12>0 && g23<1 && g23>0, g12^2*g23^2 - 1>0, False
