Line, Expression, Evaluation
1, g21<1 && g21>0, 2 - 2*g21>0, True
2, g21<1 && g21>0, 1 - g21^2>0, True
3, g21<1 && g21>0, -g21^2 + g21>0, True
4, g21<1 && g21>0, 1 - g21^2>0, True
5, g21<1 && g21>0, 1 - g21^2>0, True
6, g21<1 && g21>0, 2 - 2*g21>0, True
7, g21<1 && g21>0, 4 - 4*g21>0, True
8, g21<1 && g21>0, 1 - g21>0, True
9, g21<1 && g21>0, 2 - 2*g21>0, True
10, g21<1 && g21>0, 1 - g21>0, True
11, g21<1 && g21>0, 2 - 2*g21>0, True
12, g21<1 && g21>0, 1 - g21^2>0, True
13, g21<1 && g21>0, 2 - 2*g21^2>0, True
14, g21<1 && g21>0, 1 - g21^2>0, True
15, g21<1 && g21>0, 4 - 4*g21>0, True
16, g21<1 && g21>0, 1 - g21^2>0, True
17, g21<1 && g21>0, 1 - g21>0, True
18, g21<1 && g21>0, 2 - 2*g21^2>0, True
19, g21<1 && g21>0, 1 - g21^2>0, True
20, g21<1 && g21>0, 1 - g21>0, True
21, g21<1 && g21>0, 2 - 2*g21>0, True
22, g21<1 && g21>0, 4 - 4*g21>0, True
23, g21<1 && g21>0, -g21^2 + g21>0, True
24, g21<1 && g21>0, -2*g21^2 + 2*g21>0, True
25, g21<1 && g21>0, 1 - g21>0, True
26, g21<1 && g21>0, 2 - 2*g21>0, True
27, g21<1 && g21>0, 1 - g21^2>0, True
28, g21<1 && g21>0, 1 - g21>0, True
29, g21<1 && g21>0, 2 - 2*g21>0, True
30, g21<1 && g21>0, 2 - 2*g21>0, True
31, g21<1 && g21>0, 2 - 2*g21>0, True
32, g21<1 && g21>0, 2 - 2*g21>0, True
33, g21<1 && g21>0, 2 - 2*g21^2>0, True
34, g21<1 && g21>0, -2*g21^2 + 2*g21>0, True
35, g21<1 && g21>0, 2 - 2*g21>0, True
36, g21<1 && g21>0, 2 - 2*g21>0, True
37, g21<1 && g21>0, 2 - 2*g21>0, True
38, g21<1 && g21>0, 2 - 2*g21>0, True
39, g21<1 && g21>0, -2*g21^2 + 2*g21>0, True
40, g21<1 && g21>0, -2*g21^2 + 2*g21>0, True
41, g21<1 && g21>0, 2 - 2*g21>0, True
42, g21<1 && g21>0, -6*g21^2 + 4*g21 + 2>0, True
43, g21<1 && g21>0, 2 - 2*g21^2>0, True
44, g21<1 && g21>0, 6 - 6*g21>0, True
45, g21<1 && g21>0, 6 - 6*g21>0, True
46, g21<1 && g21>0, 4 - 4*g21>0, True
47, g21<1 && g21>0, 8 - 8*g21>0, True
48, g21<1 && g21>0, 2 - 2*g21>0, True
49, g21<1 && g21>0, 8 - 8*g21>0, True
50, g21<1 && g21>0, 2 - 2*g21>0, True
51, g21<1 && g21>0, 2 - 2*g21^2>0, True
52, g21<1 && g21>0, 4 - 4*g21>0, True
53, g21<1 && g21>0, -4*g21^2 + 2*g21 + 2>0, True
54, g21<1 && g21>0, 6 - 6*g21>0, True
55, g21<1 && g21>0, 4 - 4*g21>0, True
56, g21<1 && g21>0, -2*g21^2 + 2*g21>0, True
57, g21<1 && g21>0, 4 - 4*g21>0, True
58, g21<1 && g21>0, 6 - 6*g21>0, True
59, g21<1 && g21>0, 1 - g21^2>0, True
60, g21<1 && g21>0, 6 - 6*g21>0, True
61, g21<1 && g21>0, 1 - g21>0, True
62, g21<1 && g21>0, -4*g21^2 + 4*g21>0, True
63, g21<1 && g21>0, 1 - g21>0, True
64, g21<1 && g21>0, 6 - 6*g21>0, True
65, g21<1 && g21>0, -g21^2 + g21>0, True
66, g21<1 && g21>0, -5*g21^2 + 4*g21 + 1>0, True
67, g21<1 && g21>0, 6 - 6*g21>0, True
68, g21<1 && g21>0, 4 - 4*g21>0, True
69, g21<1 && g21>0, 1 - g21>0, True
70, g21<1 && g21>0, 1 - g21^2>0, True
71, g21<1 && g21>0, 2 - 2*g21>0, True
72, g21<1 && g21>0, 2 - 2*g21>0, True
73, g21<1 && g21>0, 2 - 2*g21>0, True
74, g21<1 && g21>0, -2*g21^2 + 2*g21>0, True
75, g21<1 && g21>0, 2 - 2*g21>0, True
76, g21<1 && g21>0, 4 - 4*g21>0, True
77, g21<1 && g21>0, 1 - g21>0, True
