Line, Expression, Evaluation
1, g23>1 && g23>0, g23 - 1>0, True
2, g23>1 && g23>0, g23^2 - 1>0, True
3, g23>1 && g23>0, 2*g23 - 2>0, True
4, g23>1 && g23>0, 4*g23 - 4>0, True
5, g23>1 && g23>0, g23^2 - g23>0, True
6, g23>1 && g23>0, g23^2 - 1>0, True
7, g23>1 && g23>0, g23^2 - 1>0, True
8, g23>1 && g23>0, g23 - 1>0, True
9, g23>1 && g23>0, g23 - 1>0, True
10, g23>1 && g23>0, 3*g23 - 3>0, True
11, g23>1 && g23>0, g23^2 - 1>0, True
12, g23>1 && g23>0, 2*g23^2 - 2*g23>0, True
13, g23>1 && g23>0, g23^2 - 1>0, True
14, g23>1 && g23>0, 3*g23^2 - 3>0, True
15, g23>1 && g23>0, 3*g23 - 3>0, True
16, g23>1 && g23>0, g23 - 1>0, True
17, g23>1 && g23>0, 2*g23 - 2>0, True
18, g23>1 && g23>0, g23 - 1>0, True
19, g23>1 && g23>0, g23^2 - 1>0, True
20, g23>1 && g23>0, 2*g23 - 2>0, True
21, g23>1 && g23>0, g23^2 - 1>0, True
22, g23>1 && g23>0, 2*g23 - 2>0, True
23, g23>1 && g23>0, g23^2 - 1>0, True
24, g23>1 && g23>0, 6*g23 - 6>0, True
25, g23>1 && g23>0, 8*g23 - 8>0, True
26, g23>1 && g23>0, g23^2 - g23>0, True
27, g23>1 && g23>0, 3*g23 - 3>0, True
28, g23>1 && g23>0, 2*g23 - 2>0, True
29, g23>1 && g23>0, 4*g23 - 4>0, True
30, g23>1 && g23>0, 2*g23 - 2>0, True
31, g23>1 && g23>0, g23^2 - g23>0, True
32, g23>1 && g23>0, g23 - 1>0, True
33, g23>1 && g23>0, 3*g23^2 - 3>0, True
34, g23>1 && g23>0, 2*g23^2 - 2*g23>0, True
35, g23>1 && g23>0, 2*g23 - 2>0, True
36, g23>1 && g23>0, g23 - 1>0, True
37, g23>1 && g23>0, g23^2 - g23>0, True
38, g23>1 && g23>0, g23^2 - 1>0, True
39, g23>1 && g23>0, g23^2 - 1>0, True
40, g23>1 && g23>0, 3*g23 - 3>0, True
41, g23>1 && g23>0, g23 - 1>0, True
42, g23>1 && g23>0, 2*g23^2 - 2>0, True
43, g23>1 && g23>0, 4*g23 - 4>0, True
44, g23>1 && g23>0, 2*g23^2 - 2>0, True
45, g23>1 && g23>0, 2*g23^2 - 2>0, True
46, g23>1 && g23>0, 4*g23 - 4>0, True
47, g23>1 && g23>0, 6*g23 - 6>0, True
48, g23>1 && g23>0, 2*g23^2 - 2>0, True
49, g23>1 && g23>0, 2*g23 - 2>0, True
50, g23>1 && g23>0, 6*g23 - 6>0, True
51, g23>1 && g23>0, 2*g23 - 2>0, True
52, g23>1 && g23>0, 2*g23 - 2>0, True
53, g23>1 && g23>0, 2*g23^2 - 2*g23>0, True
54, g23>1 && g23>0, 2*g23 - 2>0, True
55, g23>1 && g23>0, 2*g23 - 2>0, True
56, g23>1 && g23>0, 2*g23^2 - 2*g23>0, True
57, g23>1 && g23>0, 2*g23 - 2>0, True
58, g23>1 && g23>0, 6*g23 - 6>0, True
59, g23>1 && g23>0, 6*g23^2 - 4*g23 - 2>0, True
60, g23>1 && g23>0, 4*g23 - 4>0, True
61, g23>1 && g23>0, 6*g23 - 6>0, True
62, g23>1 && g23>0, 4*g23^2 - 4*g23>0, True
63, g23>1 && g23>0, 6*g23 - 6>0, True
64, g23>1 && g23>0, 2*g23 - 2>0, True
65, g23>1 && g23>0, 2*g23 - 2>0, True
66, g23>1 && g23>0, 8*g23 - 8>0, True
67, g23>1 && g23>0, 2*g23 - 2>0, True
68, g23>1 && g23>0, 2*g23^2 - 2*g23>0, True
69, g23>1 && g23>0, 4*g23 - 4>0, True
70, g23>1 && g23>0, 2*g23^2 - 2*g23>0, True
71, g23>1 && g23>0, 8*g23 - 8>0, True
72, g23>1 && g23>0, 2*g23^2 - 2>0, True
73, g23>1 && g23>0, 6*g23 - 6>0, True
74, g23>1 && g23>0, 4*g23^2 - 2*g23 - 2>0, True
75, g23>1 && g23>0, 2*g23^2 - 2>0, True
76, g23>1 && g23>0, 4*g23 - 4>0, True
77, g23>1 && g23>0, 16*g23 - 16>0, True
78, g23>1 && g23>0, 8*g23^2 - 4*g23 - 4>0, True
79, g23>1 && g23>0, 2*g23^2 - 2*g23>0, True
80, g23>1 && g23>0, 2*g23^2 - 2*g23>0, True
81, g23>1 && g23>0, 6*g23 - 6>0, True
82, g23>1 && g23>0, 4*g23^2 - 2*g23 - 2>0, True
83, g23>1 && g23>0, 6*g23 - 6>0, True
84, g23>1 && g23>0, 2*g23^2 - 2>0, True
85, g23>1 && g23>0, 2*g23^2 - 2>0, True
86, g23>1 && g23>0, 6*g23 - 6>0, True
87, g23>1 && g23>0, 12*g23 - 12>0, True
88, g23>1 && g23>0, 2*g23^2 + 2*g23 - 4>0, True
89, g23>1 && g23>0, 2*g23 - 2>0, True
