Line, Expression, Evaluation
1, g21<1 && g21>0, 2 - 2*g21<0, False
2, g21<1 && g21>0, 1 - g21^2<0, False
3, g21<1 && g21>0, -g21^2 + g21<0, False
4, g21<1 && g21>0, 1 - g21^2<0, False
5, g21<1 && g21>0, 1 - g21^2<0, False
6, g21<1 && g21>0, 2 - 2*g21<0, False
7, g21<1 && g21>0, 4 - 4*g21<0, False
8, g21<1 && g21>0, 1 - g21<0, False
9, g21<1 && g21>0, 2 - 2*g21<0, False
10, g21<1 && g21>0, 1 - g21<0, False
11, g21<1 && g21>0, 2 - 2*g21<0, False
12, g21<1 && g21>0, 1 - g21^2<0, False
13, g21<1 && g21>0, 2 - 2*g21^2<0, False
14, g21<1 && g21>0, 1 - g21^2<0, False
15, g21<1 && g21>0, 4 - 4*g21<0, False
16, g21<1 && g21>0, 1 - g21^2<0, False
17, g21<1 && g21>0, 1 - g21<0, False
18, g21<1 && g21>0, 2 - 2*g21^2<0, False
19, g21<1 && g21>0, 1 - g21^2<0, False
20, g21<1 && g21>0, 1 - g21<0, False
21, g21<1 && g21>0, 2 - 2*g21<0, False
22, g21<1 && g21>0, 4 - 4*g21<0, False
23, g21<1 && g21>0, -g21^2 + g21<0, False
24, g21<1 && g21>0, -2*g21^2 + 2*g21<0, False
25, g21<1 && g21>0, 1 - g21<0, False
26, g21<1 && g21>0, 2 - 2*g21<0, False
27, g21<1 && g21>0, 1 - g21^2<0, False
28, g21<1 && g21>0, 1 - g21<0, False
29, g21<1 && g21>0, 2 - 2*g21<0, False
30, g21<1 && g21>0, 2 - 2*g21<0, False
31, g21<1 && g21>0, 2 - 2*g21<0, False
32, g21<1 && g21>0, 2 - 2*g21<0, False
33, g21<1 && g21>0, 2 - 2*g21^2<0, False
34, g21<1 && g21>0, -2*g21^2 + 2*g21<0, False
35, g21<1 && g21>0, 2 - 2*g21<0, False
36, g21<1 && g21>0, 2 - 2*g21<0, False
37, g21<1 && g21>0, 2 - 2*g21<0, False
38, g21<1 && g21>0, 2 - 2*g21<0, False
39, g21<1 && g21>0, -2*g21^2 + 2*g21<0, False
40, g21<1 && g21>0, -2*g21^2 + 2*g21<0, False
41, g21<1 && g21>0, 2 - 2*g21<0, False
42, g21<1 && g21>0, -6*g21^2 + 4*g21 + 2<0, False
43, g21<1 && g21>0, 2 - 2*g21^2<0, False
44, g21<1 && g21>0, 6 - 6*g21<0, False
45, g21<1 && g21>0, 6 - 6*g21<0, False
46, g21<1 && g21>0, 4 - 4*g21<0, False
47, g21<1 && g21>0, 8 - 8*g21<0, False
48, g21<1 && g21>0, 2 - 2*g21<0, False
49, g21<1 && g21>0, 8 - 8*g21<0, False
50, g21<1 && g21>0, 2 - 2*g21<0, False
51, g21<1 && g21>0, 2 - 2*g21^2<0, False
52, g21<1 && g21>0, 4 - 4*g21<0, False
53, g21<1 && g21>0, -4*g21^2 + 2*g21 + 2<0, False
54, g21<1 && g21>0, 6 - 6*g21<0, False
55, g21<1 && g21>0, 4 - 4*g21<0, False
56, g21<1 && g21>0, -2*g21^2 + 2*g21<0, False
57, g21<1 && g21>0, 4 - 4*g21<0, False
58, g21<1 && g21>0, 6 - 6*g21<0, False
59, g21<1 && g21>0, 1 - g21^2<0, False
60, g21<1 && g21>0, 6 - 6*g21<0, False
61, g21<1 && g21>0, 1 - g21<0, False
62, g21<1 && g21>0, -4*g21^2 + 4*g21<0, False
63, g21<1 && g21>0, 1 - g21<0, False
64, g21<1 && g21>0, 6 - 6*g21<0, False
65, g21<1 && g21>0, -g21^2 + g21<0, False
66, g21<1 && g21>0, -5*g21^2 + 4*g21 + 1<0, False
67, g21<1 && g21>0, 6 - 6*g21<0, False
68, g21<1 && g21>0, 4 - 4*g21<0, False
69, g21<1 && g21>0, 1 - g21<0, False
70, g21<1 && g21>0, 1 - g21^2<0, False
71, g21<1 && g21>0, 2 - 2*g21<0, False
72, g21<1 && g21>0, 2 - 2*g21<0, False
73, g21<1 && g21>0, 2 - 2*g21<0, False
74, g21<1 && g21>0, -2*g21^2 + 2*g21<0, False
75, g21<1 && g21>0, 2 - 2*g21<0, False
76, g21<1 && g21>0, 4 - 4*g21<0, False
77, g21<1 && g21>0, 1 - g21<0, False
